2014-12-05 12:04:56:0400, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0415, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0431, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0447, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0462, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0462, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0478, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0493, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0509, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0525, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0540, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0571, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0587, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0603, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0603, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0618, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0634, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0649, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0665, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0681, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0696, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0696, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0712, list_mousemoved, id=62929, type=1
2014-12-05 12:04:56:0727, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0743, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0759, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0774, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0790, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0805, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0821, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0821, list_mousemoved, id=33960, type=1
2014-12-05 12:04:56:0852, list_mouseexited
2014-12-05 12:04:57:0071, list_mouseentered, id=33960, type=1
2014-12-05 12:04:57:0071, list_mousemoved, id=33960, type=1
2014-12-05 12:04:57:0086, list_mousemoved, id=33960, type=1
2014-12-05 12:04:57:0086, list_mousemoved, id=33960, type=1
2014-12-05 12:04:57:0117, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0133, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0149, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0164, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0180, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0180, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0195, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0211, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0227, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0242, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0258, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0273, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0289, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0305, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0305, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0320, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0336, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0351, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0367, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0383, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0398, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0398, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0445, list_mousemoved, id=62929, type=1
2014-12-05 12:04:57:0461, list_mousemoved, id=62929, type=1
